battery_level,captive,code,id,location
100,False,,aef2f716-4daa-40dc-80fa-3ee2d95d2510,"(39.751473, -105.004793)"
100,False,,b7c0843d-ecd6-4e18-be6f-e8632d52ae87,"(39.751441666666665, -105.00481333333333)"
100,False,,b3216ad2-78f0-4171-a85b-8a01b05c3454,"(39.751445, -105.00482166666667)"
92,False,,57c60a04-0dea-4319-a317-08e593fb16c7,"(39.75145333333333, -105.00483666666666)"
100,False,,b3f71f7d-0ffd-4729-9b72-310d3592a204,"(39.751416, -105.004925)"
34,False,,66f2c1f9-be43-452e-a8a9-8366acc51e4c,"(39.75122, -105.000137)"
80,False,,a3a6c6d6-1b62-4771-96d6-e0c4b161e97f,"(39.75264666666667, -105.00012166666666)"
87,False,,2dcfe1eb-0c9e-4cb8-a8c0-5c86b3ad2292,"(39.752624999999995, -105.00009999999999)"
95,False,,7ea98f6d-c5ad-43c3-9b49-0cf57b0deef6,"(39.753848, -105.001306)"
85,False,,bb335cae-68e5-4ce7-ba43-f65e5c718316,"(39.749378, -105.000902)"
83,False,,8b84cb9e-1c13-462d-8157-053f9d00f8c1,"(39.75286166666667, -104.99952)"
91,False,,f75acdc0-ac2c-4d72-9834-0d268293d629,"(39.75089333333334, -104.99858833333334)"
79,False,,7dab015a-fffa-48a4-99fb-89505aa55fc1,"(39.75344833333334, -104.99919833333334)"
91,False,,9c6e46be-4f98-4486-97c1-cc0fb2443dc8,"(39.754981666666666, -105.00214333333334)"
21,False,,043110f5-d0e8-44ca-964a-3e6c1b7c126d,"(39.75508166666667, -105.00318833333334)"
95,False,,06584410-76eb-4972-a07c-467fa517c24a,"(39.75509666666667, -105.00285333333335)"
66,False,,3b7493c6-fb6a-4265-9efb-74a90a9f6f73,"(39.749541666666666, -104.99880999999999)"
96,False,,2762607c-950d-4f2d-affb-d518915c99a2,"(39.75429833333333, -105.00643999999998)"
99,False,,3f5bb2b1-2ccb-4356-a470-0ff5d1048b96,"(39.755415, -105.002552)"
99,False,,7021be27-a836-4bbb-85b6-a0dd9a474afd,"(39.75453166666667, -105.00619499999999)"
100,False,,35554fb6-bc98-4da9-a37e-60a7547dee60,"(39.75454, -105.00621000000001)"
47,False,,91cfdc45-3ff6-4433-ad80-11a20848b153,"(39.75002666666667, -104.99807000000001)"
83,False,,4c17d49f-3c59-4e39-a55d-07b82ae01b99,"(39.74969166666666, -104.99739833333334)"
100,False,,8ec7c213-0947-43ae-ad37-68d6668f09bd,"(39.74717333333333, -105.00016833333332)"
100,False,,e9bcf466-19fa-459f-b86d-3bc84ee06e59,"(39.74713166666667, -105.00016833333332)"
100,False,,39ecbef2-0641-46fc-8ec7-e66c8e86c84b,"(39.75563, -105.00814833333334)"
