battery_level,captive,code,id,location
69,False,,b4cac069-edb0-4115-a625-18116bf24b07,"(39.751128333333334, -105.003395)"
77,False,,a0931146-3c9a-4250-bd7b-46567ce0eddf,"(39.75127, -105.00183166666666)"
75,False,,b19d22fb-c1c4-4673-92af-e2adfa9f0d0d,"(39.75047666666667, -105.00274666666668)"
71,False,,ec31f4b2-a26d-4375-b59f-082aae1d06f2,"(39.75250166666667, -105.00209833333332)"
83,False,,b797e0e4-0f9f-420b-b75e-b4c68f2ccfb4,"(39.75185333333333, -105.001075)"
86,False,,7c643371-e5f5-428b-8a32-664e9c7f3cb9,"(39.75032833333333, -105.00163333333333)"
63,False,,87efa0be-6bac-4982-b2cb-588f69a475d1,"(39.750908333333335, -105.00077833333334)"
98,False,,cd562705-0809-4a50-8c16-ded01c3bf97b,"(39.751215, -105.000333)"
94,False,,3f814dff-5853-4475-be83-90764b8425a5,"(39.75354, -105.00228166666666)"
72,False,,9e88591b-c585-4b81-8a4d-c72b2a291b3c,"(39.75367000000001, -105.00112166666668)"
100,False,,89ef6e08-646c-491d-9708-35b97b33dafc,"(39.749783, -105.000507)"
77,False,,72df306c-621a-480b-abf6-0dc9b1baa797,"(39.749451, -105.00078)"
66,False,,f1ba5619-8079-4a8c-a0ab-fb1f9feb827a,"(39.75030833333334, -104.99961833333333)"
83,False,,50a41003-007a-4249-aa04-17863d2dc098,"(39.749005000000004, -105.00122833333334)"
76,False,,02f631f9-176a-4aa0-9a70-0f5e20b6c4fd,"(39.752539, -104.999418)"
47,False,,16ed1042-1df5-4222-9b90-d1fab58d2eb5,"(39.754398333333334, -105.00396)"
64,False,,fc1d2222-85a4-4c2e-80ef-91e5065de87f,"(39.750176, -104.999293)"
72,False,,7b5b465b-742e-4d96-ba9f-513188f628af,"(39.74942333333333, -104.99993833333335)"
91,False,,f7f1d4ee-0e73-4ebb-8878-6a0bee549136,"(39.754611, -105.004609)"
99,False,,568b90a5-9638-4903-a2ce-c75dc97b2e8a,"(39.75475666666667, -105.00450833333335)"
95,False,,ef3fdcdc-758b-49f9-a8f7-514060f41559,"(39.75481, -105.00469999999999)"
94,False,,76e25aef-469f-47d4-a111-f27fe30dd485,"(39.75481833333333, -105.00470666666666)"
87,False,,e4cd43ed-1607-4437-9a3e-051544747dfc,"(39.754905, -105.00470666666666)"
69,False,,0d6641c4-6a9b-492a-8436-678318d14fec,"(39.75491666666667, -105.00479166666668)"
88,False,,e93c9c7b-509e-465e-a58f-3140a6159aa2,"(39.74842, -105.00026666666666)"
83,False,,e6f5658d-94f8-4921-942c-2e8660f9c6b7,"(39.755409, -105.002784)"
100,False,,dee63f2a-0043-4bfc-b7aa-2ea829b40f4b,"(39.75286074918731, -104.9980678355265)"
61,False,,d58fde7c-a97c-4591-8281-0407bedb21b4,"(39.755203333333334, -105.00507333333334)"
100,False,,9b09ee12-a5a7-4816-a9bd-835687c3e50b,"(39.75530666666667, -105.00496666666668)"
28,False,,ee747c6d-31df-4aca-b76c-5a7f41776ba6,"(39.75526, -105.00517999999998)"
54,False,,8974556d-2a01-4a5c-bca9-2adfbfd3db24,"(39.753631, -104.998378)"
82,False,,28884532-4105-46e3-be1c-bdacaff1295c,"(39.74972, -104.99818)"
96,False,,647f07bd-2b68-4c2c-94ba-b463f832ef44,"(39.753211666666665, -104.99804)"
96,False,,13e1755a-fcad-43e4-9a56-be66f8df64f0,"(39.75324166666667, -104.99804)"
100,False,,33458406-2e62-4a0f-817b-0a22cf19aa58,"(39.75322333333334, -104.99794833333333)"
46,False,,01931e1b-446d-4cae-a62f-1b4087626c7b,"(39.753785, -104.99826)"
92,False,,31aca975-c883-4ffa-ae0d-c1e0ab2dc764,"(39.754018, -104.998428)"
82,False,,02793cf0-74cd-4cfc-9949-dfc2dadac5f1,"(39.750386, -104.997499)"
86,False,,9bb6e979-49fe-4b9f-8465-067c7ee216ae,"(39.75283, -104.99749833333333)"
93,False,,1355f665-24a8-4305-9ad4-1c684528e8e8,"(39.751039, -104.997269)"
93,False,,e51a9282-1e73-4ccb-a106-d0f25a87dce3,"(39.75310833333333, -104.99748999999998)"
68,False,,68cb24e4-0442-4760-8a19-5471bff17960,"(39.75009166666667, -104.99731500000001)"
49,False,,844cd875-c38c-4522-b1c1-547b0fc92b3a,"(39.74798166666667, -104.99915333333333)"
78,False,,1fbc8a83-aa67-4d0e-9189-e5ce0caedb38,"(39.750805, -104.99697166666668)"
71,False,,0f86f78f-1bf1-4188-95db-ed870448cbb6,"(39.74681833333333, -105.00315166666665)"
83,False,,0dcd5d6f-1078-4f30-88e0-87447ec8c0ce,"(39.752201666666664, -104.99684166666665)"
91,False,,ab50f55a-7691-43fe-8ca5-4b8593474a17,"(39.754545, -104.998142)"
67,False,,be4eb0c9-bd98-487d-a03e-69bd65869c07,"(39.74728, -105.00012999999998)"
100,False,,0e627b79-2d47-491d-8f47-11dba93be7b1,"(39.75252166666667, -104.99654333333335)"
58,False,,2be051d9-9cf1-442f-859c-dc2c46c7c805,"(39.750225, -104.99655166666668)"
79,False,,165ee73f-09dc-49ae-a4b7-8079d97c78f5,"(39.746509999999994, -105.00192333333334)"
89,False,,2653d57f-016b-48a3-9430-3362c3f41092,"(39.748531666666665, -104.99679499999999)"
