battery_level,captive,code,id,location
75,False,,b80bf9c7-7690-46f9-b9cf-f47d31d50e1c,"(39.751995, -105.002306)"
61,False,,48e2f3a7-99bb-49cf-aaf9-12e9ab2cc225,"(39.751038333333334, -105.00197666666666)"
81,False,,75be7644-e0c9-4f3d-80a5-51375772d0f2,"(39.751216666666664, -105.00166333333333)"
63,False,,ea6c4ca2-98f0-49ae-ad08-d0e07fef7d46,"(39.752487, -105.003847)"
37,False,,2a394928-85ca-40cb-892a-621fe786941a,"(39.75272, -105.00324166666665)"
31,False,,b2b71c80-d54c-45cf-af4a-41558cc89093,"(39.75164333333333, -105.00464666666667)"
73,False,,a3033eb5-67f0-4dcb-b44b-8fcd47080696,"(39.75287166666667, -105.00327999999999)"
94,False,,a00dfa73-84cc-4689-b85c-45056a624c0d,"(39.753119999999996, -105.002945)"
35,False,,5a218e07-8962-4874-b6ff-adca7b68be15,"(39.74993166666666, -105.00184666666668)"
86,False,,eff9398a-88f0-40c8-b97e-b7e083670566,"(39.749275, -105.00271666666667)"
62,False,,2476db7f-0290-42ea-ab79-b35401ae2626,"(39.75279166666667, -104.99987000000002)"
75,False,,5d648ca9-0271-4ff3-969f-265c775b3d9c,"(39.75380666666667, -105.00105333333335)"
83,False,,eaf8a279-7de7-4e8f-b7eb-49479d1a99a9,"(39.754132, -105.001485)"
46,False,,834b1fe8-3845-45e1-b91a-b7065ad7a1b4,"(39.75290333333333, -104.99967999999998)"
88,False,,42b7e124-96c5-4e38-ad60-205e293370a6,"(39.750076, -104.999719)"
64,False,,1b3f680c-ef34-45cd-94f9-c67d3465f5a2,"(39.75454666666667, -105.00362333333332)"
44,False,,d8e13e4a-604d-4bd5-b447-e4155104bdd4,"(39.75425, -105.00102166666666)"
46,False,,ba6a2847-3d30-41a2-980a-73405cd32e95,"(39.754463333333334, -105.00090833333334)"
40,False,,6d8a9001-a8a5-44db-9734-327791ab2aea,"(39.754895000000005, -105.00198333333334)"
96,False,,c2de0b0f-ffda-4628-a169-524bf7bc86e1,"(39.75475666666667, -105.00453999999999)"
35,False,,c53d2ac5-54a9-4dd4-a220-4de8fdab4fa4,"(39.75505, -105.00265499999999)"
62,False,,462fec57-9b1c-473d-8db4-cf9ea0a3e742,"(39.75336, -105.007035)"
47,False,,68662413-76af-4941-9e83-37e0d0381b5d,"(39.748173333333334, -105.00070166666667)"
96,False,,4fc7d4ab-17f2-4d3d-91c8-2e2306b75ed1,"(39.75448666666667, -105.00631)"
48,False,,a25eea8b-e330-40ec-8c08-cfebe7f2e26d,"(39.75451333333333, -105.00633166666667)"
94,False,,abd48980-4853-43e2-ac53-25a607f92c23,"(39.75450166666667, -105.00635499999999)"
87,False,,72961440-aa69-41d1-841f-4cc2d358032e,"(39.74784833333333, -105.00484499999999)"
77,False,,d2b026c1-7123-4e40-b6e6-77197db40d08,"(39.74764666666667, -105.00192333333334)"
60,False,,9e157b64-64ef-4cd6-ae00-b5af8b377004,"(39.751693333333336, -104.99763499999999)"
28,False,,7caaa792-1bcd-4d4c-88fc-0d787ab53d50,"(39.75272, -105.00827833333332)"
100,False,,743349de-f12f-4a4a-bff2-a97d3139e0d9,"(39.753235000000004, -104.99783333333335)"
98,False,,6a8d115a-27a7-48df-88b2-ca2a1e9b167d,"(39.753315, -104.99784833333334)"
61,False,,1a6bc4ba-d89f-4317-b449-98134da09fbb,"(39.752915, -104.99762000000001)"
88,False,,4966d4ae-78b9-4e2e-aff7-e57314da0fb6,"(39.748108333333334, -105.00647666666667)"
73,False,,cd447d4d-7f1b-4d25-9707-dfe6357b33da,"(39.748425, -104.99871833333333)"
53,False,,62a466fa-65d9-49cd-9796-d9c150a664c9,"(39.752808333333334, -104.99726166666666)"
96,False,,c3969eda-1d14-4c64-8db6-da1288532e41,"(39.75588166666667, -105.00064166666668)"
95,False,,a6961eb1-e510-4814-9d62-f20dfde3361a,"(39.75589333333333, -105.00067833333333)"
87,False,,49323683-d3b1-4fef-b21c-228d7846b8a4,"(39.75595833333333, -105.00084666666667)"
96,False,,e4c07dbe-2191-418f-9a31-d0f49ed4fc88,"(39.75590833333333, -105.00063333333334)"
32,False,,8d9795e7-7546-41e5-8e52-2870f012863d,"(39.754344999999994, -105.00831666666666)"
99,False,,a5953f88-f445-4dce-ac2c-5711d6409a1d,"(39.747825, -105.00747666666666)"
93,False,,d9c72440-f2c7-4fdf-84bb-288ea8855d77,"(39.752010000000006, -104.99608666666667)"
96,False,,9ee07bbb-50da-49c3-a8d5-115ce93cba4b,"(39.75200666666667, -104.99606333333334)"
36,False,,5d7696e4-1cef-4363-b8b6-7985a81f2ae4,"(39.755135, -104.99777999999999)"
57,False,,ef653146-114d-4105-9609-d55370d68bb6,"(39.75148333333333, -104.99550666666667)"
81,False,,1765925d-1b7e-439e-8c38-b9a397cb7e9d,"(39.74758166666666, -105.00847666666665)"
91,False,,a535a7cc-2049-4604-a7a0-efee8ffe441d,"(39.7532, -104.99568166666668)"
100,False,,8e22fb9f-0403-43cb-9e41-645178b8f107,"(39.753158069252734, -104.99544044035021)"
84,False,,67241bc4-afe8-4ab9-8932-c4c9ce74a8ae,"(39.75732, -105.00068666666667)"
100,False,,6fb8c537-0b9b-4c40-93f3-a1e402238976,"(39.75103341658475, -104.99514331107348)"
74,False,,48d064e3-a2a5-4769-801c-576f5b5722d0,"(39.75767833333334, -105.00226666666667)"
100,False,,db3bb1f3-6206-40ba-a95a-2f41c0bd515b,"(39.755905, -105.00871333333335)"
67,False,,fac35d12-f921-4e13-aa97-45ca488ae132,"(39.75051091002216, -104.9949338321655)"
53,False,,bf7d6951-0bde-461b-99c3-cfc9e110a5b4,"(39.755775, -104.99641500000001)"
79,False,,0865e338-3095-4fb0-abd8-0912c0c94afb,"(39.747774, -104.995631)"
98,False,,5bde3ec5-b457-48d9-90c0-25e26a3b76cf,"(39.75837333333333, -105.00197666666666)"
100,False,,4f9b2f77-3ea9-4e31-8d28-c83024439eb3,"(39.75848333333333, -105.00192333333334)"
86,False,,b213c089-2781-431c-88e3-68189b546522,"(39.758155, -105.00671333333334)"
78,False,,1c8b5179-646e-40b3-a905-23c7771dbb78,"(39.7584, -105.00668333333333)"
77,False,,af80c1ce-fa26-4c65-a102-ccebf5c65fe2,"(39.75190666666666, -104.992965)"
76,False,,5340a4d5-1b05-409c-8623-5ffce7bb3528,"(39.75853, -104.99851166666667)"
73,False,,121b862c-499a-41ce-8495-9faed8b81fbc,"(39.75115666666667, -104.99285833333333)"
22,False,,55a18eec-59ee-4dd4-9353-e2144dab314c,"(39.744885, -105.00832333333334)"
39,False,,53e2f0ed-459f-4077-8c1f-cfa9fc24e04a,"(39.74505666666666, -105.00922333333334)"
94,False,,4af227db-ead6-4f69-b3b3-aead83c4bbdb,"(39.757222, -105.010662)"
99,False,,2080dc3b-44b7-428d-a70c-13dd4df24043,"(39.757243, -105.010785)"
74,False,,da1e5342-a5d9-477b-abb9-422eee397783,"(39.743579999999994, -105.00669166666667)"
66,False,,606d8d3e-724c-4b17-8040-3dd09d0f73a6,"(39.74353333333333, -105.00670666666669)"
64,False,,96a5b4e4-721f-4fab-95c9-f648c5715cb3,"(39.752655, -104.99192)"
54,False,,2a6c6488-effb-491a-9771-0255592aa120,"(39.758463, -105.009625)"
34,False,,caa06c5e-bc1f-48ed-b112-3096a1828737,"(39.75213166666666, -104.99167666666666)"
28,False,,3ca70fe6-c973-49f5-b339-4dd663586997,"(39.754688333333334, -104.99234833333334)"
74,False,,661351ae-ea53-4d35-9156-1f4efa31fe2d,"(39.754704, -104.992294)"
41,False,,d17d29ca-0e63-4b29-bbd5-ea9cffaab47d,"(39.75922333333333, -104.99724499999999)"
96,False,,ea356ece-7110-492e-aa5d-764b2a93666d,"(39.75131666666667, -104.99139333333332)"
99,False,,e16b9d04-94ba-46bc-bc7e-86e8d2d42745,"(39.751423333333335, -104.99128666666665)"
98,False,,09299521-85ac-4af4-8fd8-11b11a85516e,"(39.75129666666667, -104.99125666666666)"
94,False,,452e1ee9-9a83-45cf-acbd-01dec07529fe,"(39.75407, -104.99157666666666)"
66,False,,2fbb8eb0-5cd9-43b9-b972-4b95e8a25fd3,"(39.76029666666667, -105.00709499999999)"
38,False,,b521d665-d255-4c2b-822f-c7b798a8e990,"(39.75283, -104.99086833333334)"
99,False,,734c2c1a-3a28-41d7-8b19-e224d5a4c042,"(39.749805, -104.99096666666668)"
47,False,,7e69e3d5-1195-4157-815d-610e3f0c7c73,"(39.75603833333333, -104.99223333333333)"
83,False,,ef4b83d8-3817-443e-8da9-95bdb36a2053,"(39.758628333333334, -105.01113833333332)"
87,False,,2d3bee01-f782-41f6-9692-9d0d184aacad,"(39.75899833333334, -105.01070333333334)"
53,False,,5869695c-e4d6-4357-a488-38202969c4f3,"(39.75974333333333, -104.99601666666668)"
79,False,,96ca84d4-1ed7-4b1e-88cf-d2cb9d82beb3,"(39.756325, -104.99181333333333)"
52,False,,9c1f92a6-608d-41db-a9db-699f845c10b6,"(39.76006333333333, -104.99657499999999)"
92,False,,514901de-70ed-4439-879f-c1f0f656bfbc,"(39.75982666666666, -105.00986499999999)"
83,False,,2b2ed76c-a40e-4818-8795-59e300b09947,"(39.75984166666667, -105.00985)"
82,False,,235ef65e-002a-42ab-acc2-87ae0545696c,"(39.75983833333333, -105.00986499999999)"
46,False,,f43bf411-5eb3-4a6c-ade8-0817558d55ab,"(39.761401666666664, -105.00551666666667)"
76,False,,5df18210-b682-468f-9baf-0f7cc927969d,"(39.758355, -105.01259666666668)"
96,False,,0a8bdc0c-36ab-4a30-aa8a-14a7106f62a2,"(39.759531, -105.011051)"
43,False,,2169de10-3ae4-467e-9099-cf40eb97d717,"(39.751038333333334, -104.989715)"
92,False,,46f43681-0e2d-4891-9f75-841333354c9a,"(39.757178, -105.014054)"
98,False,,22c69d33-190f-494d-bfb5-c2bcfffe7485,"(39.759705, -105.01104)"
29,False,,c58055a0-488d-4227-b2be-7f2a107e5e22,"(39.7523, -104.98946333333333)"
77,False,,f4110579-f530-4fab-b341-43fb3ad93630,"(39.753886666666666, -104.98974666666666)"
