battery_level,captive,code,id,location
97,False,,e115fb37-eb6b-4205-adcd-2d9bfeda113d,"(39.75151833333334, -105.00265499999999)"
76,False,,9c05115b-b9c8-423c-85f2-9efe6adc00ab,"(39.751915000000004, -105.00261666666665)"
100,False,,0fd75c17-a67d-4b57-a80c-b58ee5021064,"(39.752191, -105.00307)"
100,False,,51707fe3-63a9-44a3-ac58-1bc9e6c919a6,"(39.75208333333333, -105.00357000000001)"
100,False,,2e705801-b08b-4efe-8151-5cd2ef6911b9,"(39.75213166666666, -105.00351)"
98,False,,082fa7fb-fd1e-4135-8a10-236c73df79b8,"(39.75206, -105.00374666666667)"
61,False,,834052b7-c00e-4aaa-8ced-d229fee9d6cd,"(39.751189999999994, -105.00179333333332)"
85,False,,0c3c975d-51ac-4ec8-87bb-b45edb95bfc7,"(39.752078, -105.001894)"
96,False,,f8f77c29-aa50-4612-91ab-91e0bc3fb458,"(39.751308333333334, -105.00169333333334)"
62,False,,fe7c109a-7cc3-4137-a22b-b942758e094e,"(39.752525, -105.00346333333333)"
84,False,,a7433a2e-d5d5-40d3-8a19-4ca2ec878246,"(39.75124666666667, -105.001625)"
87,False,,fc85ece2-0388-488d-a14e-67a04f406191,"(39.75119333333334, -105.00157166666668)"
63,False,,33c7b9e5-6b76-4316-9c57-93e585b6c6ae,"(39.75269, -105.00319666666668)"
92,False,,8078eb9c-ed4c-4b7c-bf1e-8db3df81512f,"(39.75113666666667, -105.00153333333334)"
57,False,,015875c4-3790-441c-bee4-87578eed5919,"(39.752475, -105.00179333333332)"
97,False,,5cea3257-3c81-4787-9ea3-17c961eb2b8e,"(39.750731, -105.001305)"
93,False,,7810b01e-a753-4de3-8f78-ea6bf83eccb4,"(39.753101666666666, -105.00292166666668)"
80,False,,0422bc88-f963-44a5-afca-6de83080fcf3,"(39.75065166666666, -105.00077833333334)"
95,False,,7fccca9b-24db-4400-aad7-29f84c1b94bf,"(39.752448333333334, -105.00050333333333)"
87,False,,68304327-dacd-4df1-bbeb-4ea2a6dc3332,"(39.752426666666665, -105.00025166666667)"
98,False,,a998f84b-affd-47d1-83df-d8c175b72e40,"(39.74993833333333, -105.00074833333335)"
95,False,,40e63754-3c2a-41d3-9b6b-c3d91e53a861,"(39.749905, -105.00067166666668)"
97,False,,a80eb726-5a6b-4652-a940-b6b57bc5dd8b,"(39.749905, -105.00066333333334)"
99,False,,5b22f7dd-2712-4043-9102-e773a6e0788b,"(39.75153666666667, -104.99977166666667)"
96,False,,a2493e5c-b366-45f0-b599-fbf88ba5956f,"(39.749813333333336, -105.00068666666667)"
95,False,,04b641e6-8f26-4a80-b502-efe8f7e4e60f,"(39.74981666666667, -105.00067166666668)"
92,False,,73f84211-6f79-4561-9018-60a7b2510ea7,"(39.74980166666667, -105.00067833333333)"
87,False,,375d2e16-81af-49bb-89e1-3977ec206286,"(39.749805, -105.00066333333334)"
85,False,,afa81915-ee36-4027-ace8-144b3f7da160,"(39.74982, -105.00064166666668)"
95,False,,f2f6c106-5333-4c99-af2d-5616900fe8b5,"(39.749810000000004, -105.00050333333333)"
86,False,,4130fc99-7e53-4127-ac8f-e34a8915edde,"(39.749721666666666, -105.00020666666666)"
89,False,,6da5b14a-f33d-48c6-a3ed-da45d3126c59,"(39.75363166666667, -104.99965666666667)"
45,False,,4a2171ca-483e-4b9c-a6f7-2459e0a6a641,"(39.748439999999995, -105.00436333333333)"
