battery_level,captive,code,id,location
77,False,,8ccc0d1b-2667-4b2c-837e-a8ae77b70026,"(39.75259, -105.002976)"
46,False,,3fc52529-9ada-4421-aec3-6e72a3954634,"(39.7505, -105.00152666666666)"
48,False,,bb578f3a-6fda-467e-8a79-dcca086159fd,"(39.750355, -105.00139666666668)"
84,False,,bdba208d-5d10-4d08-8ab9-013b6ad23dc0,"(39.75391, -105.003566)"
44,False,,ea6182d6-a7fa-4955-b3da-d38dfe5c9b53,"(39.75338, -105.00511166666665)"
67,False,,b45c4093-5ee8-4795-9c0f-d80a08f5c24b,"(39.7535, -105.005069)"
47,False,,eaf4cc55-e28f-4572-a461-0a39bc9acfad,"(39.7518612, -104.9993112)"
46,False,,811ec24f-8dd9-4588-88c2-691e42279dc0,"(39.75413833333334, -105.00123666666666)"
53,False,,0cc108ef-fb44-47cf-8158-d501713d3a25,"(39.750275, -104.99955)"
49,False,,d4bfe625-596c-4927-b530-7047b2799f77,"(39.749092, -105.000757)"
25,False,,2b99e48e-13a1-4045-aed1-783409969816,"(39.754868333333334, -105.00229666666668)"
100,False,,8cbc4fd5-65dc-4401-8d05-320a0a8e4218,"(39.753219, -105.006925)"
43,False,,d35c895a-8feb-4a7b-9d65-1fb6399ca3b6,"(39.748393, -105.000526)"
49,False,,428fd9ff-d023-47c0-89af-34e0ae2fbac0,"(39.74886333333333, -105.00641666666667)"
66,False,,cbf48551-a28b-4cc0-b618-5b47c392795f,"(39.74836333333334, -105.00028166666668)"
44,False,,a467530b-0f7c-43dd-85ce-f894298f72d2,"(39.748158333333336, -105.00071000000001)"
80,False,,a9316361-bd1d-42ed-a108-29f3a47d669e,"(39.75524933702155, -104.9996281560497)"
29,False,,3f9d9f43-803e-49a8-8ae5-aadec31e1f94,"(39.748058, -105.006885)"
31,False,,90633d13-2c51-46aa-b53d-af57f7b1d3d8,"(39.74794333333333, -105.00739999999999)"
