battery_level,captive,code,id,location
98,False,,39bbb648-26c9-47e1-a0d6-b5c781449549,"(39.751488333333334, -105.00312000000001)"
88,False,,5888e8fc-4f40-4f15-99d2-4ddb58078747,"(39.750721666666664, -105.00193833333333)"
100,False,,5f901c33-2409-46d3-a6f8-5164cc9e2325,"(39.75045333333333, -105.00102999999999)"
100,False,,13893d90-3144-4270-94f4-4f0ac82a29d8,"(39.750435, -105.00103833333333)"
77,False,,356b4706-e47e-494e-9f7c-0c9b4979380a,"(39.74992333333333, -105.000625)"
69,False,,6d1a8eaf-6007-49d1-8ce2-ea0e6de9da36,"(39.75270833333333, -104.99997666666668)"
98,False,,b4ba1ceb-a962-4e11-8317-bd2ed5cd118e,"(39.754188, -105.001659)"
98,False,,80f4d396-830f-4206-997c-2bf4d0ab5b66,"(39.754315, -105.00177000000001)"
36,False,,e9dbe37d-3dfb-42d6-9ecb-f2773c7a599d,"(39.754463, -105.003148)"
31,False,,c09acc45-362a-4259-b268-bd253349ed4e,"(39.754315, -105.00171666666665)"
100,False,,17fe7b9a-d914-493c-84f2-bfc16ca19912,"(39.754326666666664, -105.00168666666666)"
94,False,,f2259e25-5522-4ce0-930e-1cd697614217,"(39.75311333333333, -104.99956500000002)"
96,False,,246321bd-002a-4dba-81a1-e9ff4930c72a,"(39.75312833333333, -104.99955)"
100,False,,8f49a311-50af-4994-939a-7a670a87c582,"(39.753119999999996, -104.99954166666666)"
100,False,,13f0b0d1-cc5b-4a89-9082-897d3ca1f88f,"(39.75311333333333, -104.99952)"
96,False,,eb41ea01-d7f4-42a4-a8a0-3c4ebdcd532a,"(39.75312833333333, -104.99952)"
100,False,,f1a1eda0-84fc-4e6d-bed3-ca8aab284e49,"(39.753146666666666, -104.99948166666667)"
86,False,,2ef70d75-d5a8-46ce-917c-96cada969656,"(39.75468, -105.00447833333334)"
87,False,,95db55be-68e4-4f86-b0ed-b066d49291b6,"(39.750355, -104.99889333333334)"
92,False,,005f68e0-9503-4c75-aa09-d6c9ea52e848,"(39.75160666666667, -104.99785666666666)"
97,False,,313208fd-a473-4c32-80bf-b47f09171688,"(39.753146, -104.998044)"
100,False,,e39628fb-4d45-4875-bad5-3ba6548ec189,"(39.75322666666667, -104.99806166666667)"
100,False,,b2512657-da66-48bb-871e-d6748e8ee813,"(39.75325, -104.99807000000001)"
100,False,,b86cf4dc-3ef6-4df9-9962-ddf37fefb6a2,"(39.753193, -104.997958)"
89,False,,909af1b6-3d06-4541-bbff-acb67f22d835,"(39.75312833333333, -104.99779500000001)"
91,False,,6323c975-735c-4e9b-8338-1d6318a11f62,"(39.753135, -104.99779500000001)"
94,False,,54864191-e590-40e5-8e72-77e6e335a6bb,"(39.75467666666667, -105.00685166666666)"
100,False,,d61e9abf-d95c-4b8c-9482-754c7fb35197,"(39.75470333333333, -105.00684333333332)"
45,False,,65aeeb78-66b1-4071-9f7b-c06ada91b060,"(39.74839833333333, -104.99875666666667)"
92,False,,18ba60be-73b7-4a05-8236-9a2b1eb0b464,"(39.74975666666667, -104.99727666666668)"
66,False,,6fefdbcd-fb4e-4349-9e6a-7c638af3778a,"(39.74934333333333, -104.99726833333334)"
87,False,,516c34e3-51c4-426a-b9ad-4fbb0dc0d4a1,"(39.747679, -104.998792)"
39,False,,3be1ddf3-8d70-49cb-a819-eb7d62aa64b2,"(39.748745, -104.99739833333334)"
95,False,,3195d0fa-d5f7-4d5c-9439-0d67fc3c3840,"(39.751979, -104.996101)"
97,False,,347a4c15-d12d-421d-829c-b6606efb8d5c,"(39.75201333333334, -104.99607833333333)"
96,False,,9fc95891-430a-40cb-a09f-3a813d7f23ea,"(39.75196833333334, -104.99605500000001)"
97,False,,83eb0c95-414d-42c5-adf7-22b467def4b1,"(39.757331666666666, -105.00337166666668)"
98,False,,513b65b6-e4fe-4d00-8dc4-ca3ad40dbc2c,"(39.75737, -105.00340999999999)"
61,False,,bf7d6951-0bde-461b-99c3-cfc9e110a5b4,"(39.755775, -104.99640666666667)"
87,False,,682f622b-2e62-46b8-bb42-324705b57e7e,"(39.758244, -105.007017)"
79,False,,69640911-bd0e-424c-b20c-b9315f4ec7d0,"(39.746116666666666, -104.99593333333333)"
99,False,,2ac6679d-c9d4-4d93-8434-8e2880ac21eb,"(39.75393333333333, -104.99316333333333)"
100,False,,e1bbe757-85dd-4978-9ede-30960637e889,"(39.753944, -104.993146)"
98,False,,9a646efc-2117-42a5-8bdc-52ceef51896e,"(39.75393666666666, -104.99314166666666)"
88,False,,c10928cd-5c48-4571-8a5b-85ad29bb6932,"(39.75383, -104.99308)"
95,False,,db94faa3-7233-45ae-8ba5-ed125fdea7d3,"(39.753818333333335, -104.99303499999999)"
98,False,,13446e9e-d942-4a59-8551-c0b837861ea4,"(39.754149999999996, -104.992935)"
88,False,,d5f0e8b5-fdfd-4247-a2a7-50754dbfe984,"(39.75032, -104.99234)"
100,False,,6ed67c9f-4e33-4b1f-b1e0-be7aaedaea93,"(39.751202, -104.991611)"
98,False,,53dc2c7f-a6cb-4ac0-b18f-794d24cbf02b,"(39.751236666666664, -104.99156999999998)"
100,False,,31daed17-00a0-46d3-9851-e0db3cdb29ac,"(39.753841666666666, -104.99162999999999)"
100,False,,9a85d2bf-ca5d-484e-8646-ecb2d1615762,"(39.753795, -104.991555)"
99,False,,4f9b280e-9035-4f34-be5b-79f919b8fd12,"(39.75382666666667, -104.99153833333334)"
100,False,,adeadc78-a671-41ad-b16b-134694f38681,"(39.751841666666664, -104.99111999999998)"
100,False,,5cec73bc-ebc5-439f-a2f7-aeb83bf443e2,"(39.755790000000005, -104.99237833333333)"
100,False,,549dc3da-7e37-40cf-abd2-1444732aa2c2,"(39.75170833333333, -104.99096)"
20,False,,5a66a213-500b-4b4b-8be1-3ce4bbc16f98,"(39.744476666666664, -104.99506333333332)"
86,False,,76b9bd0c-6711-4a33-8be5-f3e10ad6395a,"(39.756888, -104.992836)"
98,False,,e49e0a77-8fe8-4352-9a89-6dbb69890f42,"(39.758584, -105.011235)"
97,False,,f1493739-2baf-4d8e-8510-30244da420e8,"(39.75866333333333, -105.01117666666666)"
100,False,,11b289d0-825b-4a11-89a2-d6576c47190e,"(39.75700833333334, -104.99272166666667)"
81,False,,676676b6-dca0-4de8-8cd3-a6360091f751,"(39.75438333333333, -104.99094333333332)"
60,False,,f23c73be-fb89-4de3-9074-42e18eba8d98,"(39.755691666666664, -104.99156999999998)"
40,False,,2645cf65-6408-402a-9a70-f992526f5eda,"(39.754253, -104.990849)"
99,False,,b862328c-bd51-4851-a6d7-bbf4f8044e6b,"(39.75605333333333, -104.99171499999999)"
100,False,,e339f9a6-0d5e-4d2e-9031-3f22e769d245,"(39.761781, -105.005675)"
99,False,,6e8c48da-d3fe-4553-bd04-5ec4b9e67bdc,"(39.76177166666666, -105.00574499999999)"
99,False,,3859217f-bbc0-44c6-bbf1-784f31e21ff6,"(39.76181, -105.00574499999999)"
98,False,,f40752c7-0978-4687-a88b-c4a8dcc49944,"(39.74482, -104.99215000000001)"
89,False,,c3752e7d-0ee2-4cae-aa4e-4b80061d3a3c,"(39.757174, -104.991071)"
93,False,,b0d1cef5-b350-4cbe-b320-b142722aa20c,"(39.746103, -104.990786)"
97,False,,2eb70131-fb8f-4f1a-9e26-382e71887040,"(39.74849, -104.98908166666666)"
100,False,,08a78036-3728-4c3b-abe4-f0251830c0ec,"(39.748532, -104.988986)"
100,False,,7e6c3036-5a80-463e-8a51-90b43fc9a80d,"(39.74852333333333, -104.988945)"
100,False,,1cc7aa7a-6d6d-4974-9159-27666e3dbf6e,"(39.74857, -104.98890000000002)"
