battery_level,captive,code,id,location
97,False,,b183055a-3803-45c5-a13d-492f118c579a,"(39.750953333333335, -105.002175)"
96,False,,3eccd1e8-b933-41af-bba3-77174862afc6,"(39.75271166666666, -105.00299000000001)"
89,False,,872b88dc-faaf-483d-9f77-7a6fa629b3a5,"(39.75275, -105.00305166666666)"
93,False,,dc33dc4a-7f70-4dc7-9742-4fa9feae8ab8,"(39.75305166666667, -105.00206000000001)"
89,False,,7f37253d-8de1-43a6-b5f3-e80fd48944aa,"(39.75322333333334, -105.00273833333334)"
92,False,,3cfcba01-8c99-41ab-8a66-119772063b29,"(39.75325, -105.002942)"
93,False,,93197984-5841-4271-88a6-40b3124fbbc9,"(39.750748333333334, -105.00086166666667)"
77,False,,a3033eb5-67f0-4dcb-b44b-8fcd47080696,"(39.75333833333333, -105.003365)"
98,False,,eaee7db9-c323-45d3-9fd7-f74e24c3f86e,"(39.750751666666666, -105.00084)"
96,False,,7893fbed-3d8f-4da7-ab34-da119ea3b349,"(39.75071333333334, -105.00084)"
88,False,,831b7e11-4077-49f0-9435-ab613549be75,"(39.753371666666666, -105.00348666666666)"
95,False,,dde895b5-0b9c-4c67-a57d-635a8d3be6bf,"(39.75237666666667, -105.00066333333334)"
60,False,,f383de54-80bb-4e6d-8f32-c664a813b250,"(39.75116, -104.99991666666668)"
78,False,,2d5c8496-3f93-47e5-894c-d9130f5caf9a,"(39.753998333333335, -105.00373833333333)"
94,False,,0c964953-268b-4a5b-ab32-087ce89173cc,"(39.754062, -105.001803)"
97,False,,388d2dc5-4b40-445b-8e64-fff920abff66,"(39.754021, -105.00145)"
67,False,,bc6659e9-f0cf-4a12-a534-22e08c316e9e,"(39.74992333333333, -105.00009999999999)"
93,False,,feaf525e-472d-4c1a-964a-d70b0c307341,"(39.75403166666667, -105.00137333333332)"
56,False,,f5580dce-19a5-4c8a-ae41-160ce28aa971,"(39.75434166666666, -105.00358499999999)"
88,False,,c7bc9f21-db78-451d-ba11-4ab7a38b9046,"(39.75274666666667, -104.99959500000001)"
91,False,,e8af40b1-f75c-4558-a3ed-ca339169e445,"(39.75422666666667, -105.00145666666667)"
