battery_level,captive,code,id,location
78,False,,7c7687d1-b1fa-4388-9f0b-517971511515,"(39.75185333333333, -105.00366166666666)"
48,False,,0b29f41d-cab2-45f1-829f-1e324e24a659,"(39.75219666666667, -105.00378500000001)"
64,False,,d70b69c6-626d-4cd4-a882-e53702ab2145,"(39.751841666666664, -105.00102166666666)"
94,False,,5963285e-4d6c-48a5-8eff-9df7316742dc,"(39.752136666666665, -105.00499666666668)"
59,False,,cad149d1-d075-486f-89b7-7719bc90dfbc,"(39.752117, -105.000882)"
66,False,,e1cd0780-2215-4de1-8a8d-06f9cf3a8094,"(39.750221, -105.001556)"
57,False,,eba8fb77-7186-4397-b0df-26dfedb739e6,"(39.752320000000005, -105.00092333333332)"
56,False,,ee753416-e399-45c0-aa79-d1d04ae58638,"(39.74957333333334, -105.00212166666667)"
21,False,,e3762c0e-5428-44d1-84ee-333b920df47a,"(39.75362333333333, -105.00161666666666)"
53,False,,6047ea3c-aae1-4034-8877-29f58ecd4905,"(39.75396333333333, -105.00360166666665)"
81,False,,e26e3354-9459-4823-b0b1-99471287235f,"(39.753961, -105.004087)"
40,False,,ed4d1546-9e79-47a3-baf1-e7d1daae4524,"(39.753993333333334, -105.00170833333335)"
60,False,,7bcc91ed-b9f7-4b98-a165-944813f8fa07,"(39.749766666666666, -105.00042666666668)"
80,False,,024e8298-f492-47eb-ac14-a22f21452729,"(39.75375666666666, -105.00105333333335)"
44,False,,60badc95-e655-44b1-bc75-5c2fc0d63706,"(39.752785, -105.00608833333332)"
24,False,,2d577b27-df4b-4b3f-8845-dd2dd27dbd7b,"(39.75279666666667, -105.00613333333334)"
75,False,,276bd5e6-92cd-4ea3-910c-4f21b5c32a17,"(39.753886666666666, -105.0009)"
84,False,,f011b7eb-b5a4-44ec-b58b-6709a686f982,"(39.754116, -105.001341)"
35,False,,81f5ab14-d10c-4b14-af84-d88641743d0f,"(39.754176666666666, -105.00151)"
65,False,,ba723e32-79b3-490c-83b9-4ab770fc550d,"(39.75219666666667, -104.99917666666667)"
60,False,,13b9209e-e070-40a1-bc6b-7641bcfd6b41,"(39.75181166666667, -104.99877999999998)"
97,False,,6131a207-1fcc-4296-8aec-ea69fbd09cbc,"(39.75195, -104.99857333333333)"
16,False,,91a7b78d-eb3e-47b2-ab28-cc602e522bca,"(39.753688333333336, -104.99881666666667)"
27,False,,0b1753e0-c837-482c-90f9-fa4797e46a48,"(39.753533, -104.998421)"
91,False,,ac71246f-96b1-4810-97a5-80d1b3076408,"(39.752266666666664, -105.00809499999998)"
71,False,,6a386f7f-e5c9-476c-a14f-4b757f8be8a9,"(39.75315833333333, -104.99742833333333)"
89,False,,3255eea6-0675-4618-adb2-d6ca63c07405,"(39.75268166666667, -104.9972)"
79,False,,43b27adc-cf6d-4a5d-b447-d3ae594ac2f5,"(39.756245, -105.002092)"
78,False,,4c17d49f-3c59-4e39-a55d-07b82ae01b99,"(39.74982, -104.99720833333335)"
72,False,,868b9c71-7533-4202-8b85-65e3d5892dec,"(39.749763333333334, -104.99680333333332)"
44,False,,f06e7c12-7674-4fcc-8f5e-e0f9c901cc99,"(39.75, -104.99584166666666)"
96,False,,5bc8a00a-e8fb-4737-9500-79ae10f72483,"(39.755584999999996, -105.00823166666666)"
75,False,,730829f8-e284-410d-8225-8e4b2a95919c,"(39.746735, -104.998482)"
79,False,,645a49db-3c46-4715-8c15-22762eef26f6,"(39.75348333333333, -104.99562833333333)"
100,False,,667e6f12-4e36-409d-b624-23bd9955d5f7,"(39.75324166666667, -104.99549166666665)"
100,False,,e90f02fa-a7f8-4ed6-ae02-8c37f321bbac,"(39.7532, -104.99545333333332)"
100,False,,fa3a2377-99cb-4c97-940f-a55f1a41e97e,"(39.753242, -104.995277)"
89,False,,589abfe4-79a9-4d84-ab2d-7333806df67c,"(39.748364, -104.996104)"
100,False,,17c94636-f299-4c1e-afe4-a4286337b129,"(39.753225, -104.995176)"
33,False,,6541ea67-9a89-4fc4-ba2d-e8acadad5782,"(39.749825, -104.995143)"
58,False,,09e9fa30-654f-4d0e-aa12-c1f5eb39c3f5,"(39.748023333333336, -104.99582666666666)"
75,False,,10695e67-0a2c-451e-a149-987fd398e916,"(39.747825, -104.99594166666665)"
67,False,,bf7d6951-0bde-461b-99c3-cfc9e110a5b4,"(39.755768333333336, -104.99639833333335)"
69,False,,e6aed7cc-1d01-4fc0-8ec1-bc8dddb39cd8,"(39.74778666666667, -104.99593333333333)"
