,BSID,LONG,LAT,X_COORD,Y_COORD,ROUTES,STOPNAME,DIR,DISTANCE,POSTAL,PID,LOCATION
2362,25550.0,-104.962308,39.71107,3151272.38355,1684334.18624,3,Alameda Ave & S Vine St,E,50.0,80209,0,F
2363,25551.0,-104.963295,39.711152,3150994.53119,1684362.41348,3,Alameda Ave & S Vine St,W,50.0,80209,0,F
2364,25552.0,-104.966853,39.711155,3149993.54221,1684357.61214,3,Alameda Ave & S Williams St,W,50.0,80209,0,F
2365,25555.0,-105.03696475,39.60973051,3130457.05678,1647305.18397,59,W Bowles Ave & S Lowell Blvd,W,75.0,80123,0,N
2366,25559.0,-104.79795118,39.59511319,3197837.55085,1642412.77065,"153, 66, 483",Arapahoe Rd & S Parker Rd,W,290.0,80016,-1,N
2367,25560.0,-104.82719432,39.7400396,3189206.01572,1695139.82061,"15L, 15",Colfax Station,E,5.0,80011,232,A
2368,25561.0,-104.82921457,39.74041034,3188636.89512,1695270.66583,"FF, 15",Colfax Ave & Fitzsimons Pkwy,W,1200.0,80045,232,F
2369,25562.0,-104.986278,39.654631,3144645.07626,1663736.93193,"12, ART, 27, 35",S Lincoln St & Girard Ave,N,75.0,80113,0,F
2370,25563.0,-104.780571,39.885464,3201897.6172,1748213.70571,"AA, 104X",104th Ave & Reunion Pkwy,E,75.0,80022,0,F
2371,25564.0,-104.78144,39.885709,3201653.04375,1748301.02379,"AA, 104X",104th Ave & Reunion Pkwy,W,75.0,80022,0,F
2372,25565.0,-104.986132,39.532316,3144938.19667,1619184.55487,403,S Broadway & Fairchild Dr,N,75.0,80126,0,F
2373,25566.0,-104.985187,39.536131,3145196.85968,1620575.6319,403,S Broadway & Gateway Dr,N,75.0,80126,0,F
2374,25567.0,-104.98253219,39.52739483,3145963.73362,1617397.84444,403,Wildcat Reserve Pkwy & Pennington St,E,75.0,80126,-1,A
2375,25568.0,-104.97401184,39.52680772,3148368.30651,1617197.79831,403,Wildcat Reserve Pkwy & Gateway Dr,E,75.0,80126,-1,A
2376,25569.0,-104.964518,39.524148,3151051.96532,1616244.67688,403,Wildcat Reserve Pkwy & Summit View Pkwy,E,75.0,80125,0,F
2377,25570.0,-104.958278,39.524112,3152812.23929,1616242.00021,403,Wildcat Reserve Pkwy & Poston Pkwy,E,75.0,80126,0,F
2378,25571.0,-104.95326,39.52422,3154227.49351,1616289.81757,403,Wildcat Reserve Pkwy & Flagstaff Way,E,50.0,80126,0,F
2379,25572.0,-104.940656,39.527652,3157775.15952,1617561.51976,403,Wildcat Reserve Pkwy & McArthur Ranch Rd,NE,75.0,80130,0,F
2380,25573.0,-104.938577,39.532134,3158351.4904,1619197.64474,403,Wildcat Reserve Pkwy & Arrowwood Dr,N,75.0,80130,0,F
2381,25574.0,-104.936418,39.538197,3158946.73654,1621409.78385,403,Wildcat Reserve Pkwy & S Cresthill Ln,N,75.0,80130,0,F
2382,25575.0,-104.935391,39.54104,3159229.94121,1622447.10932,403,Wildcat Reserve Pkwy & Perth Pl,N,75.0,80130,0,F
2383,25576.0,-104.935663,39.541079,3159153.14504,1622460.83796,403,Wildcat Reserve Pkwy & University Blvd,S,75.0,80126,0,F
2384,25577.0,-104.9368,39.537658,3158840.21979,1621212.79184,403,Wildcat Reserve Pkwy & Grace Blvd,S,75.0,80126,0,F
2385,25578.0,-104.938902,39.531712,3158260.77345,1619043.37054,403,Wildcat Reserve Pkwy & Cherryhurst Ave,S,75.0,80126,0,F
2386,25579.0,-104.941398,39.527301,3157566.65102,1617432.38506,403,Wildcat Reserve Pkwy & Fairview Pkwy,SW,75.0,80126,0,F
2387,25580.0,-104.95391697,39.52444974,3154041.67208,1616372.38359,403,Wildcat Reserve Pkwy & Rustic Redwood Way,W,75.0,80126,0,F
2388,25581.0,-104.958939,39.524294,3152625.38777,1616307.18002,403,Wildcat Reserve Pkwy & Timberchase Trl,W,75.0,80126,0,F
2389,25582.0,-104.965133,39.52449,3150877.75103,1616368.22376,403,Wildcat Reserve Pkwy & Summit View Pkwy,W,75.0,80125,0,F
2390,25583.0,-104.973991,39.527019,3148373.74004,1617274.78907,403,Wildcat Reserve Pkwy & Gateway Dr,W,75.0,80126,0,F
2391,25584.0,-104.982525,39.527586,3145965.36588,1617467.48654,403,Wildcat Reserve Pkwy & Pennington St,W,75.0,80126,0,F
2392,25586.0,-104.959431,39.711366,3152081.13754,1684446.81028,3,S University Blvd & Alameda Ave,S,125.0,80209,0,N
2393,25588.0,-104.950139,39.524289,3155107.7199,1616320.26343,403,Wildcat Reserve Pkwy & Spearwood Dr,E,75.0,80126,0,F
2394,25589.0,-104.950819,39.524471,3154915.50347,1616385.39411,403,Wildcat Reserve Pkwy & Willowbrdge Way,W,75.0,80126,0,F
2395,25590.0,-104.98056009,39.76085499,3146033.76929,1702439.11652,44,Lawrence St & 29th St,E,80.0,80205,-1,N
2396,25597.0,-104.890871,39.75489,3171262.90849,1700422.91064,105,Central Park Blvd & 26th Ave,S,50.0,80238,0,N
2397,25598.0,-104.890343,39.75499,3171411.11446,1700460.33274,105,Central Park Blvd & 26th Ave,N,50.0,80238,0,F
2398,25599.0,-104.89031,39.757555,3171414.12197,1701394.72966,105,Central Park Blvd & 29th Ave,N,50.0,80238,0,N
2399,25600.0,-105.013839,39.729228,3136739.58197,1690866.74574,"1, 9",W 8th Ave & Wyandot St,E,75.0,80204,0,F
2400,25601.0,-105.053097,39.836489,3125505.60346,1729882.06126,"31, 51",Sheridan Blvd & W 77th Ave,N,75.0,80030,0,F
2401,25602.0,-104.996192,39.549632,3142065.79112,1625475.82453,0,Ridgeline Blvd & Highlands Ranch Pkwy,N,50.0,80129,0,F
2402,25603.0,-105.079364,39.855115,3118097.57197,1736631.91717,92,8600 Block Webster Dr,NE,75.0,80003,0,M
2403,25608.0,-105.131927,40.1442,3102913.39715,1841882.96064,324,Clover Basin Dr & S Hover St {2015},W,75.0,80503,0,F
2404,25609.0,-105.088364,40.182157,3115030.89385,1855764.18051,327,Lashley St & Mt Evans Dr {1103},S,5.0,80501,0,A
2405,25610.0,-105.106997,40.154948,3109866.85563,1845827.976,323,S Pratt Pkwy & Delaware Ave {1103},S,125.0,80501,0,N
2406,25611.0,-105.1399598,40.14407395,3100667.61669,1841828.03753,324,Clover Basin Dr & S Fordham St {1103},E,65.0,80503,-1,F
2407,25612.0,-105.144661,40.143368,3099354.16845,1841565.6626,324,Clover Basin Dr & Larkspur Dr {1103},W,75.0,80503,0,A
2408,25613.0,-105.149863,40.143679,3097899.23954,1841673.32154,"324, J",Airport Rd & Clover Basin Dr {1103},N,75.0,80503,0,F
2409,25614.0,-105.15284565,40.15242589,3097053.11037,1844856.87995,J,Nelson Rd & Airport Rd {1103},E,325.0,80503,-1,F
2410,25616.0,-105.13998954,40.15240609,3100647.27207,1844863.65532,J,Nelson Rd & S Fordham St {1103},E,25.0,80503,0,F
2411,25619.0,-105.12875155,40.13926032,3103808.60463,1840086.90426,"324, 323",Miller Dr & Pike Rd {2015},S,75.0,80501,154,N
2412,25621.0,-105.120985,40.137794,3105982.50555,1839561.65147,324,Pike Rd & S Sunset St {1103},E,75.0,80501,154,F
2413,25622.0,-105.115134,40.137756,3107618.64709,1839554.68555,324,Pike Rd & Ridgeview Dr {1103},E,75.0,80504,0,F
2414,25623.0,-105.1077055,40.13791008,3109695.59582,1839619.70642,324,Pike Rd & S Coffman St {1103},E,20.0,80504,-1,N
2415,25624.0,-105.101802,40.138186,3111345.91446,1839727.41342,324,Pike Rd & S Main St {1103},E,75.0,80501,0,F
2416,25625.0,-105.09807,40.139549,3112387.26927,1840228.58778,324,S Collyer St & Countryside Estates {1103},N,75.0,80501,0,N
2417,25626.0,-105.09868648,40.14156458,3112211.64654,1840962.15889,324,Quebec Ave & S Emery St {1103},N,15.0,80501,-1,F
2418,25627.0,-105.099304,40.145215,3112033.11664,1842291.34851,324,Quail Rd & S Emery St {1103},W,75.0,80501,0,F
2419,25633.0,-105.102641,40.159686,3111077.04907,1847559.47442,"324, LX, J, BOLT, LD",S Main St & 1st Ave {1103},S,200.0,80501,0,F
2420,25634.0,-105.101885,40.145048,3111311.74987,1842227.33289,324,Quail Rd & S Main St {1103},E,90.0,80501,0,F
2421,25635.0,-105.099103,40.144977,3112089.69778,1842204.88616,324,Quail St & S Emery St {1103},E,50.0,80501,0,N
2422,25636.0,-105.099728,40.141568,3111920.42295,1840962.11936,324,S Emery St & Quebec Ave {1103},S,75.0,80501,0,N
2423,25637.0,-105.101663,40.1383,3111384.5999,1839769.11718,324,Pike Rd & S Main St {1103},W,75.0,80501,0,N
2424,25638.0,-105.10732,40.138005,3109803.24122,1839654.75379,324,Pike Rd & S Coffman St {1103},W,75.0,80501,0,N
2425,25639.0,-105.115093,40.137901,3107629.88787,1839607.56167,324,Pike Rd & Ridgeview Dr {1103},W,75.0,80501,0,A
2426,25646.0,-105.11639,40.195638,3107178.38985,1860641.53138,"326, LX, J, BOLT, LD",21st Ave & Francis St {1103},E,100.0,80501,0,F
2427,25648.0,-105.130778,40.188073,3103169.69141,1857868.65823,"326, J, BOLT",Hover St & 17th Ave {1103},N,100.0,80501,0,N
2428,25650.0,-105.088384,40.185325,3115020.07525,1856918.37086,327,Lashley St & Empson Dr {1103},S,75.0,80501,0,F
2429,25653.0,-105.101263,40.170402,3111445.1142,1851465.35005,327,Kimbark St & Longs Peak Ave {1103},S,75.0,80501,0,F
2430,25654.0,-105.088202,40.182489,3115075.61583,1855885.34506,327,Lashley St & Mt Evans Dr {1103},N,75.0,80501,0,F
2431,25655.0,-105.088222,40.185393,3115065.23117,1856943.35086,327,Lashley St & E 15th Ave {1103},N,75.0,80501,0,F
2432,25657.0,-105.116599,40.176262,3107149.78992,1853581.89775,326,Francis St & 10th Ave {1103},S,100.0,80501,0,N
2433,25658.0,-105.14005141,40.14424478,3100641.75566,1841890.17405,324,Clover Basin Dr & S Fordham St {2015},W,45.0,80503,-1,N
2434,25662.0,-105.236192,40.051144,3073859.3979,1807879.1713,205,Jay Rd & 51st St,W,175.0,80301,0,F
2435,25663.0,-105.244588,40.051138,3071508.74811,1807870.26796,205,Jay Rd & 47th St,W,75.0,80301,0,F
2436,25664.0,-105.250837,40.051158,3069759.17435,1807872.69559,205,Jay Rd & Saint Croix St,W,10.0,80301,0,F
2437,25665.0,-105.255248,40.051099,3068524.26974,1807847.84387,205,Jay St & 30th St,W,50.0,80301,0,N
2438,25666.0,-105.259204,40.049392,3067418.3424,1807222.99885,205,28th St & Jay Rd,S,275.0,80301,0,F
2439,25667.0,-105.2584,40.044071,3067648.60209,1805285.08124,205,28th St & Palo Pkwy,N,80.0,80301,0,F
2440,25668.0,-105.2584796,40.04729012,3067623.19498,1806457.79118,205,3900 Block 28th St,N,1000.0,80301,-1,F
2441,25669.0,-105.259096,40.049742,3067448.24216,1807350.58912,205,28th St & Jay Rd,N,275.0,80301,0,N
2442,25670.0,-105.258963,40.050986,3067484.27691,1807803.89538,205,Jay Rd & 28th St,E,175.0,80301,0,F
2443,25671.0,-105.254479,40.050964,3068739.70237,1807799.24234,205,Jay Rd & 30th St,E,75.0,80301,0,F
2444,25672.0,-105.250417,40.051023,3069876.89827,1807823.83588,205,Jay Rd & Saint Croix St,E,75.0,80301,0,F
2445,25673.0,-105.24336644,40.05098934,3071850.90665,1807817.07233,205,Jay Rd & 47th St,E,90.0,80301,-1,F
2446,25674.0,-105.236266,40.051021,3073838.80997,1807834.30046,205,Jay Rd & 51st St,E,75.0,80301,0,N
2447,25675.0,-105.13464713,40.1442147,3102152.82982,1841885.24691,324,Clover Basin Dr & Dry Creek Dr {2015},W,45.0,80503,0,F
2448,25676.0,-104.990265,39.559222,3143717.49313,1628978.21294,0,Centennial Blvd & Plaza Dr,NW,90.0,80129,0,F
2449,25683.0,-104.903461,39.717571,3167812.41623,1686805.57703,"73, 6",Quebec St & Lowry Blvd,N,75.0,80230,0,F
2450,25692.0,-105.128463,39.635458,3104639.87795,1656558.03653,116X,S Simms St & W Temple Dr,N,75.0,80127,0,F
2451,25693.0,-105.1288279,39.63641751,3104535.68061,1656907.12107,116X,S Simms St & W Temple Dr,S,220.0,80465,-1,N
2452,25696.0,-104.8013543,39.77294619,3196380.40782,1707181.24142,"42, 121",40th Ave & Kittridge St,W,25.0,80239,-1,N
2453,25697.0,-104.801924,39.772693,3196220.98286,1707087.78304,"42, 121",40th Ave & 40th Cir W,E,50.0,80011,0,N
2454,25707.0,-104.913078,39.541548,3165521.3291,1622672.02341,403,Lincoln Ave & S Quebec St {1401},E,75.0,80130,0,F
2455,25708.0,-104.909827,39.539113,3166443.91173,1621791.04641,403,Lincoln Ave & Dutch Creek St {1401},E,75.0,80130,0,F
